Date,Country,new_cases,new_cases_per_cap,new_cases_mean,mean_cases_per_cap,rate
2020-01-23,Austria,0,0,NA,NA,NA
2020-01-24,Austria,0,0,NA,NA,NA
2020-01-25,Austria,0,0,NA,NA,NA
2020-01-26,Austria,0,0,NA,NA,NA
2020-01-27,Austria,0,0,NA,NA,NA
2020-01-28,Austria,0,0,NA,NA,NA
2020-01-29,Austria,0,0,0,NA,NA
2020-01-30,Austria,0,0,0,NA,NA
2020-01-31,Austria,0,0,0,NA,NA
2020-02-01,Austria,0,0,0,NA,NA
2020-02-02,Austria,0,0,0,NA,NA
2020-02-03,Austria,0,0,0,NA,NA
2020-02-04,Austria,0,0,0,NA,NA
2020-02-05,Austria,0,0,0,0,NaN
2020-02-06,Austria,0,0,0,0,NaN
2020-02-07,Austria,0,0,0,0,NaN
2020-02-08,Austria,0,0,0,0,NaN
2020-02-09,Austria,0,0,0,0,NaN
2020-02-10,Austria,0,0,0,0,NaN
2020-02-11,Austria,0,0,0,0,NaN
2020-02-12,Austria,0,0,0,0,NaN
2020-02-13,Austria,0,0,0,0,NaN
2020-02-14,Austria,0,0,0,0,NaN
2020-02-15,Austria,0,0,0,0,NaN
2020-02-16,Austria,0,0,0,0,NaN
2020-02-17,Austria,0,0,0,0,NaN
2020-02-18,Austria,0,0,0,0,NaN
2020-02-19,Austria,0,0,0,0,NaN
2020-02-20,Austria,0,0,0,0,NaN
2020-02-21,Austria,0,0,0,0,NaN
2020-02-22,Austria,0,0,0,0,NaN
2020-02-23,Austria,0,0,0,0,NaN
2020-02-24,Austria,0,0,0,0,NaN
2020-02-25,Austria,2,0.022206430982412508,0.2857142857142857,0.0015861736416008935,Inf
2020-02-26,Austria,0,0,0.2857142857142857,0.0015861736416008935,Inf
2020-02-27,Austria,1,0.011103215491206254,0.42857142857142855,0.00237926046240134,Inf
2020-02-28,Austria,0,0,0.42857142857142855,0.00237926046240134,Inf
2020-02-29,Austria,6,0.06661929294723752,1.2857142857142858,0.007137781387204021,Inf
2020-03-01,Austria,5,0.055516077456031265,2,0.011103215491206254,Inf
2020-03-02,Austria,4,0.044412861964825016,2.5714285714285716,0.014275562774408041,Inf
2020-03-03,Austria,3,0.03330964647361876,2.7142857142857144,0.01665482323680938,850.0000000000001
2020-03-04,Austria,8,0.08882572392965003,3.857142857142857,0.022999517803212955,1250.0000000000002
2020-03-05,Austria,12,0.13323858589447504,5.428571428571429,0.032516559652818314,1166.6666666666667
2020-03-06,Austria,14,0.15544501687688755,7.428571428571429,0.04361977514402456,1633.3333333333335
2020-03-07,Austria,24,0.2664771717889501,10,0.0626538588432353,677.7777777777776
2020-03-08,Austria,25,0.2775803872801563,12.857142857142858,0.08248102936324644,542.8571428571429
2020-03-09,Austria,27,0.29978681826256887,16.142857142857142,0.10389437352485852,527.7777777777777
2020-03-10,Austria,51,0.566263990051519,23,0.1427556277440804,747.3684210526314
2020-03-11,Austria,64,0.7106057914372003,31,0.193513184275309,703.7037037037037
2020-03-12,Austria,56,0.6217800675075502,37.285714285714285,0.23713295941933357,586.8421052631578
2020-03-13,Austria,202,2.242849529223663,64.14285714285714,0.39733649722102377,763.4615384615383
2020-03-14,Austria,151,1.6765855391721443,82.28571428571429,0.5123340862370885,722.8571428571429
2020-03-15,Austria,205,2.276159175697282,108,0.6709514503971779,739.9999999999999
2020-03-16,Austria,158,1.7543080476105881,126.71428571428571,0.7930868208004467,684.9557522123894
2020-03-17,Austria,314,3.4864096642387636,164.28571428571428,1.0397368220693857,614.2857142857142
2020-03-18,Austria,314,3.4864096642387636,200,1.2824213892343224,545.1612903225806
2020-03-19,Austria,367,4.074880085272695,244.42857142857142,1.5639672106184808,555.5555555555555
2020-03-20,Austria,375,4.163705809202345,269.14285714285717,1.850271552927442,319.59910913140317
2020-03-21,Austria,426,4.729969799253864,308.42857142857144,2.1690924548892214,274.8263888888889
2020-03-22,Austria,768,8.527269497246403,388.85714285714283,2.7583559627439533,260.05291005291
2020-03-23,Austria,892,9.904068218155977,493.7142857142857,3.44437606273634,289.62795941375424
2020-03-24,Austria,809,8.982501332385858,564.4285714285714,4.045535872903079,243.56521739130437
2020-03-25,Austria,305,3.386480724817907,563.1428571428571,4.236669796715986,181.57142857142856
2020-03-26,Austria,1321,14.667347663883461,699.4285714285714,5.239924625028551,186.14845119812975
2020-03-27,Austria,748,8.305205187422278,752.7142857142857,5.6729500291855945,179.67091295116768
2020-03-28,Austria,614,6.81737431160064,779.5714285714286,6.040149227216202,152.755905511811
2020-03-29,Austria,517,5.740362408953633,743.7142857142857,6.287592315305941,91.25642909625276
2020-03-30,Austria,830,9.215668857701191,734.8571428571429,6.820546658883841,48.842592592592595
2020-03-31,Austria,562,6.240007106057915,699.5714285714286,7.017232190442352,23.943305492280427
2020-04-01,Austria,531,5.895807425830521,731.8571428571429,7.1893320305560495,29.959411466260796
2020-04-02,Austria,418,4.641144075324214,602.8571428571429,7.229779458416871,-13.807189542483657
2020-04-03,Austria,395,4.38577011902647,552.4285714285714,7.2456411948328805,-26.608464604289228
